"time","num_instructions","location","block","condition","success","participant_id"
5.58130640000013,2,"8",1,"tactile","success",718
4.80747500000007,2,"2",1,"tactile","success",718
5.80770219999999,3,"1",1,"tactile","success",718
5.77363859999991,2,"4",1,"tactile","success",718
5.04685200000017,3,"3",1,"tactile","success",718
3.98997730000019,3,"9",1,"tactile","success",718
5.57270010000002,3,"9",1,"auditory","success",718
6.4319622999999,3,"3",1,"auditory","success",718
5.32011710000006,3,"7",1,"auditory","success",718
5.0697161999999,2,"6",1,"auditory","success",718
4.44002510000018,2,"8",1,"auditory","success",718
4.60226690000013,2,"2",1,"auditory","success",718
4.82574849999992,2,"4",1,"auditory","success",718
5.50040839999997,3,"1",1,"auditory","success",718
3.52819580000005,2,"8",2,"tactile","success",718
4.93635810000001,3,"3",2,"tactile","success",718
4.29998100000012,3,"9",2,"tactile","success",718
4.38775959999998,2,"2",2,"tactile","success",718
5.00055399999997,3,"1",2,"tactile","success",718
4.4070157000001,3,"7",2,"tactile","success",718
3.98671960000001,2,"4",2,"tactile","success",718
3.95486439999991,2,"6",2,"tactile","success",718
4.69774610000013,3,"3",2,"auditory","success",718
4.58640459999992,2,"4",2,"auditory","success",718
5.04180940000015,3,"7",2,"auditory","success",718
3.72642980000001,2,"6",2,"auditory","success",718
3.08000779999998,2,"8",2,"auditory","success",718
5.31827980000003,3,"1",2,"auditory","success",718
3.50350719999983,2,"2",2,"auditory","success",718
4.36403710000013,3,"9",2,"auditory","success",718
3.59428959999991,2,"4",3,"tactile","success",718
5.07936910000012,3,"3",3,"tactile","success",718
4.61136669999996,3,"1",3,"tactile","success",718
2.7846133999999,2,"8",3,"tactile","success",718
2.80022740000004,2,"6",3,"tactile","success",718
4.33648339999991,3,"9",3,"tactile","success",718
4.06279519999998,3,"7",3,"tactile","success",718
3.33282520000012,2,"2",3,"tactile","success",718
3.32982990000005,2,"4",3,"auditory","success",718
0.828371300000072,2,"3",3,"auditory","exFail",718
4.99867270000004,3,"1",3,"auditory","success",718
3.45487559999992,2,"2",3,"auditory","success",718
2.99112530000002,2,"6",3,"auditory","success",718
4.39692839999998,3,"9",3,"auditory","success",718
3.48428230000013,2,"8",3,"auditory","success",718
4.30231249999997,3,"7",3,"auditory","success",718
4.77705619999983,3,"rep_3",3,"auditory","success",718
12.3084666,3,"7",1,"tactile","success",1494
8.88114960000007,2,"6",1,"tactile","success",1494
8.91163119999987,3,"9",1,"tactile","success",1494
10.2163912000001,3,"1",1,"tactile","success",1494
6.98928699999988,2,"2",1,"tactile","success",1494
6.87038320000011,3,"3",1,"tactile","success",1494
5.40639429999987,2,"4",1,"tactile","success",1494
4.31067510000003,2,"8",1,"tactile","success",1494
5.03033090000008,2,"2",1,"auditory","success",1494
7.90975510000021,4,"1",1,"auditory","success",1494
5.97290100000009,3,"9",1,"auditory","success",1494
6.31492879999996,3,"3",1,"auditory","success",1494
3.88249849999988,2,"8",1,"auditory","success",1494
3.40982929999996,2,"6",1,"auditory","success",1494
3.98317339999994,2,"4",1,"auditory","success",1494
5.95852279999986,4,"7",1,"auditory","success",1494
4.1123884000001,2,"8",2,"tactile","success",1494
4.71318350000001,3,"7",2,"tactile","success",1494
4.21535180000001,2,"6",2,"tactile","success",1494
5.13562109999998,3,"1",2,"tactile","success",1494
5.02344930000004,3,"9",2,"tactile","success",1494
3.65322880000008,2,"4",2,"tactile","success",1494
6.16909149999992,3,"3",2,"tactile","success",1494
5.25675320000005,2,"2",2,"tactile","success",1494
5.52262240000005,3,"3",2,"auditory","success",1494
4.01057880000008,2,"6",2,"auditory","success",1494
4.73095770000009,2,"2",2,"auditory","success",1494
3.35701470000004,2,"8",2,"auditory","success",1494
6.22094760000004,4,"7",2,"auditory","success",1494
5.30382860000009,3,"1",2,"auditory","success",1494
3.33918000000017,2,"4",2,"auditory","success",1494
4.61671230000002,3,"9",2,"auditory","success",1494
5.63296490000016,3,"1",3,"tactile","success",1494
3.42593850000003,2,"4",3,"tactile","success",1494
3.55239089999986,2,"8",3,"tactile","success",1494
4.80002659999991,3,"3",3,"tactile","success",1494
4.04375200000004,2,"2",3,"tactile","success",1494
11.6103809000001,5,"7",3,"tactile","success",1494
