time,num_instructions,location,block,condition,success
10.53181829999994,3,7,1,tactile,success
5.880766499999936,2,8,1,tactile,success
8.782478000000083,3,3,1,tactile,success
6.081679200000053,2,4,1,tactile,success
6.810194300000148,2,2,1,tactile,success
6.794544500000029,3,9,1,tactile,success
7.153925699999945,3,1,1,tactile,exFail
4.819308399999954,2,6,1,tactile,success
7.483987200000001,3,rep_1,1,tactile,success
6.090710900000204,2,2,1,auditory,success
4.885231499999918,2,4,1,auditory,success
6.050622299999986,2,6,1,auditory,fail
8.73864780000008,3,3,1,auditory,exFail
7.033587699999998,3,7,1,auditory,success
7.8760092999998506,3,9,1,auditory,success
9.675045500000124,4,1,1,auditory,success
5.033871099999942,2,8,1,auditory,success
7.6047333000001345,3,rep_3,1,auditory,success
6.831296199999997,3,9,2,tactile,success
6.190709599999991,2,2,2,tactile,success
6.225563599999987,3,7,2,tactile,success
4.736626599999909,2,8,2,tactile,success
5.126190500000121,2,6,2,tactile,success
4.9728212999998505,2,4,2,tactile,success
7.764211200000091,3,3,2,tactile,success
7.4708349,3,1,2,tactile,success
5.51215789999992,2,8,2,auditory,success
8.443277500000022,3,1,2,auditory,success
7.891971000000012,3,7,2,auditory,success
5.586119099999905,2,4,2,auditory,success
5.959343900000022,2,6,2,auditory,success
1.422082199999977,1,9,2,auditory,exFail
6.479827400000204,2,2,2,auditory,success
8.819075899999916,3,3,2,auditory,success
1.5483655000000454,1,rep_9,2,auditory,exFail
9.318697499999871,3,rep_9,2,auditory,success
5.021811800000023,2,4,3,tactile,success
4.778466600000002,2,8,3,tactile,success
6.81966680000005,3,9,3,tactile,success
7.695497499999874,3,1,3,tactile,success
6.598724299999958,2,2,3,tactile,success
7.976312499999949,3,3,3,tactile,success
6.716792100000021,3,7,3,tactile,success
4.82126130000006,2,6,3,tactile,success
5.147780199999943,2,8,3,auditory,success
5.9641830999999,2,2,3,auditory,success
8.190706200000022,3,1,3,auditory,success
7.700352000000066,3,7,3,auditory,success
5.5025313999999526,2,6,3,auditory,success
7.000157200000103,3,9,3,auditory,success
7.872757499999807,3,3,3,auditory,success
5.08599490000006,2,4,3,auditory,success
