time,num_instructions,location,block,condition,success
20,4,7,1,tactile,fail
13.952365799999825,2,2,1,tactile,success
5.931716099999903,2,8,1,tactile,success
9.09496090000016,2,4,1,tactile,success
10.971461599999884,4,1,1,tactile,success
8.53842550000013,3,3,1,tactile,success
5.684825099999898,3,9,1,tactile,success
3.6044056999999157,2,6,1,tactile,success
3.6200408999998217,2,8,1,auditory,success
5.219151900000043,3,1,1,auditory,success
5.061265300000059,3,3,1,auditory,success
3.383619499999895,2,2,1,auditory,success
3.5161838999999873,2,6,1,auditory,success
4.7535179999999855,3,7,1,auditory,success
3.5174678999999287,2,4,1,auditory,success
4.065735800000084,3,9,1,auditory,success
3.171659200000022,2,6,2,tactile,success
3.937872200000129,3,9,2,tactile,success
3.2133571000001666,3,7,2,tactile,success
2.448641799999905,2,8,2,tactile,success
5.40146290000007,4,1,2,tactile,success
2.84932549999985,2,4,2,tactile,success
4.770190799999909,3,3,2,tactile,success
3.3067622999997184,2,2,2,tactile,success
4.295040699999845,3,1,2,auditory,success
3.6841316000000006,3,9,2,auditory,success
2.916790900000251,2,4,2,auditory,success
5.0312684999998964,4,7,2,auditory,success
3.0839845000000423,2,6,2,auditory,success
2.789288200000101,2,8,2,auditory,success
3.0362675999999738,2,2,2,auditory,success
3.813810900000135,3,3,2,auditory,success
3.261443599999893,2,6,3,tactile,success
3.938735799999904,3,3,3,tactile,success
3.2412193000000116,3,9,3,tactile,success
2.837166199999956,2,4,3,tactile,success
2.627200299999913,2,8,3,tactile,success
3.0625765999998293,2,2,3,tactile,success
4.809031000000232,3,1,3,tactile,success
3.2681173000000854,3,7,3,tactile,success
3.0339359999998123,2,2,3,auditory,success
4.265085199999703,3,9,3,auditory,success
3.4105641999999534,2,6,3,auditory,success
3.7719145999999455,3,1,3,auditory,success
4.5712822000000415,3,3,3,auditory,success
4.287792099999933,3,7,3,auditory,success
3.8027663000002576,2,4,3,auditory,success
3.078227599999991,2,8,3,auditory,success
