time,num_instructions,location,block,condition,success
12.519689499999913,3,3,1,auditory,success
7.027870899999925,3,7,1,auditory,success
5.989268699999911,2,2,1,auditory,success
5.674202500000092,3,1,1,auditory,success
3.6487932,2,4,1,auditory,success
3.6468256000000565,2,8,1,auditory,success
3.569653199999948,2,6,1,auditory,success
4.33590090000007,3,9,1,auditory,success
3.0126683999999386,2,6,1,tactile,success
4.090529900000092,2,2,1,tactile,success
20,7,4,1,tactile,fail
1.005447699999877,1,8,1,tactile,exFail
8.14376829999992,3,1,1,tactile,success
4.850173700000141,3,7,1,tactile,success
5.760511199999883,3,3,1,tactile,success
4.59601889999999,3,9,1,tactile,success
3.222386400000005,2,rep_8,1,tactile,success
5.0959170000000995,3,3,2,auditory,success
4.042193900000029,3,1,2,auditory,success
3.037965399999848,2,4,2,auditory,success
3.43229539999993,2,2,2,auditory,success
3.2040239999998903,2,8,2,auditory,success
3.227251699999897,2,6,2,auditory,success
4.33825899999988,3,9,2,auditory,success
3.875191099999938,3,7,2,auditory,success
3.4496120000001156,2,4,2,tactile,success
4.546761999999944,3,1,2,tactile,success
3.1123675999999705,2,6,2,tactile,success
3.876561299999821,2,2,2,tactile,success
3.6264122000000043,3,7,2,tactile,success
5.2115651999999955,3,3,2,tactile,success
4.19967859999997,3,9,2,tactile,success
2.9992165999999543,2,8,2,tactile,success
3.7365866000000096,2,2,3,auditory,success
4.498901599999954,4,9,3,auditory,success
2.6559896000001117,2,8,3,auditory,success
3.69135469999992,3,7,3,auditory,success
4.148663200000101,3,1,3,auditory,success
5.42640809999989,2,4,3,auditory,success
2.8433255999998437,2,6,3,auditory,success
4.4012663000000884,3,3,3,auditory,success
3.8116343000001507,3,9,3,tactile,success
3.0189238000000387,2,4,3,tactile,success
4.500398200000063,3,1,3,tactile,success
4.76380180000001,3,3,3,tactile,success
2.727076800000077,2,6,3,tactile,success
3.2009310999999343,2,2,3,tactile,success
3.5841655000001538,3,7,3,tactile,success
2.237455299999965,2,8,3,tactile,success
