time,num_instructions,location,block,condition,success
14.61818889999995,3,1,1,tactile,success
10.321077899999864,2,8,1,tactile,success
12.938929400000006,3,7,1,tactile,success
7.808658200000082,2,6,1,tactile,success
9.152871199999936,2,2,1,tactile,success
9.954358899999988,2,4,1,tactile,success
10.095942800000103,3,3,1,tactile,success
8.485161599999856,3,9,1,tactile,success
7.116530000000012,2,2,1,auditory,success
9.342880100000002,3,3,1,auditory,success
10.470174599999837,3,1,1,auditory,success
10.654227999999875,3,7,1,auditory,exFail
6.600500900000043,2,8,1,auditory,success
7.973752200000035,2,4,1,auditory,success
8.793180600000142,3,9,1,auditory,success
5.941031199999998,2,6,1,auditory,success
7.1097789000000375,3,rep_7,1,auditory,success
7.16768970000021,3,1,2,tactile,success
8.5445193999999,3,9,2,tactile,success
5.77785259999996,2,4,2,tactile,success
6.442645200000015,3,7,2,tactile,success
4.515856700000086,2,8,2,tactile,success
6.368113600000015,2,2,2,tactile,success
9.764946400000099,4,3,2,tactile,success
4.5072811,2,6,2,tactile,success
5.0183002000001125,2,8,2,auditory,success
7.105132200000071,3,9,2,auditory,success
4.68170710000004,2,2,2,auditory,success
6.808439800000087,3,3,2,auditory,success
4.032974899999999,2,6,2,auditory,success
7.6845058999999765,3,1,2,auditory,success
6.3636383999999,3,7,2,auditory,success
4.605075899999974,2,4,2,auditory,success
4.360513000000083,2,4,3,tactile,success
5.113401199999998,3,9,3,tactile,success
4.293761800000084,2,8,3,tactile,success
4.895152999999937,2,6,3,tactile,success
6.355140899999924,3,3,3,tactile,success
6.422452599999815,3,7,3,tactile,success
5.840396900000087,3,1,3,tactile,success
5.626799099999971,2,2,3,tactile,success
5.058965700000044,2,6,3,auditory,success
7.2821621000000505,5,3,3,auditory,exFail
4.626558700000032,2,2,3,auditory,success
5.6877518999999666,3,7,3,auditory,success
5.454506100000117,3,9,3,auditory,success
3.6671873000000232,2,8,3,auditory,success
7.128547199999957,3,1,3,auditory,success
4.170223699999951,2,4,3,auditory,success
6.65000729999997,3,rep_3,3,auditory,success
