time,num_instructions,location,block,condition,success
10.984373799999958,2,8,1,auditory,success
12.355079399999795,3,4,1,auditory,success
14.262838899999906,3,9,1,auditory,success
0.24831040000003668,1,2,1,auditory,success
17.704084800000146,3,3,1,auditory,success
10.002020599999923,3,6,1,auditory,success
15.040140199999996,3,7,1,auditory,exFail
16.50192059999995,3,1,1,auditory,success
10.621233399999937,3,rep_7,1,auditory,success
11.875798499999974,3,9,1,tactile,success
9.186486800000011,2,4,1,tactile,success
11.687782799999923,3,3,1,tactile,success
7.132319000000052,2,6,1,tactile,success
13.330350200000112,3,1,1,tactile,success
6.133416800000077,2,8,1,tactile,success
8.29828620000012,2,2,1,tactile,success
8.955385400000068,3,7,1,tactile,success
7.277737999999999,2,2,2,auditory,success
6.402031599999873,2,6,2,auditory,success
8.238967399999865,3,9,2,auditory,success
9.295664999999872,3,3,2,auditory,success
6.406027900000026,2,4,2,auditory,success
4.656370500000094,2,8,2,auditory,success
1.5526022999999896,1,1,2,auditory,exFail
7.874544000000014,3,7,2,auditory,success
8.51657769999997,3,rep_1,2,auditory,success
6.718230799999901,2,2,2,tactile,success
6.821408399999882,3,7,2,tactile,success
5.34787039999992,2,4,2,tactile,success
8.156289000000015,3,1,2,tactile,success
4.6301184999999805,2,8,2,tactile,success
4.813861799999813,2,6,2,tactile,success
7.10390869999992,3,3,2,tactile,success
5.849458400000003,3,9,2,tactile,success
5.648003099999869,2,2,3,auditory,success
7.064239499999985,3,3,3,auditory,success
5.590096700000004,3,9,3,auditory,success
3.875524999999925,2,8,3,auditory,success
5.146317500000123,2,4,3,auditory,success
6.528852700000016,3,1,3,auditory,success
4.652103499999839,2,6,3,auditory,success
6.539423399999805,3,7,3,auditory,success
6.453040600000122,3,9,3,tactile,success
4.720653500000026,2,4,3,tactile,success
6.888134499999978,3,1,3,tactile,success
5.68232409999996,3,7,3,tactile,success
4.873712100000148,2,2,3,tactile,success
3.9750602000001436,2,6,3,tactile,success
1.2321868999999879,1,3,3,tactile,exFail
3.593345200000158,2,8,3,tactile,success
5.78618419999998,3,rep_3,3,tactile,success
