time,num_instructions,location,block,condition,success
20,5,1,1,tactile,fail
2.1598624000000655,1,6,1,tactile,exFail
9.894335400000045,2,8,1,tactile,success
9.76123779999989,3,7,1,tactile,success
7.0161790999998175,2,4,1,tactile,success
15.130859300000111,3,3,1,tactile,success
8.100177399999893,2,2,1,tactile,success
10.974427500000047,3,9,1,tactile,success
7.571037100000012,2,rep_6,1,tactile,success
8.308713900000157,2,2,1,auditory,success
10.428311499999836,3,1,1,auditory,success
5.05305989999988,2,8,1,auditory,success
7.635046999999986,3,7,1,auditory,success
6.150180399999954,2,4,1,auditory,success
9.841648799999803,3,3,1,auditory,success
8.773537100000112,3,9,1,auditory,success
6.39780420000011,2,6,1,auditory,success
6.036862900000187,2,2,2,tactile,success
9.084951799999999,3,3,2,tactile,success
4.6519343999998455,2,8,2,tactile,success
9.572255699999914,3,1,2,tactile,success
8.18419300000005,3,9,2,tactile,success
6.482507800000121,3,7,2,tactile,success
4.486719799999946,2,6,2,tactile,success
10.072235000000092,7,4,2,tactile,exFail
4.764666600000055,2,rep_4,2,tactile,success
5.012312099999917,2,4,2,auditory,success
6.0297548999999435,2,2,2,auditory,success
6.24152509999999,3,7,2,auditory,success
7.626873899999964,3,1,2,auditory,success
8.652622699999938,3,9,2,auditory,success
5.385194800000136,2,6,2,auditory,success
7.773487100000011,3,3,2,auditory,success
4.072447000000011,2,8,2,auditory,success
7.479466099999854,3,9,3,tactile,success
8.78888209999991,3,3,3,tactile,success
8.238437100000056,3,1,3,tactile,success
5.885761499999944,3,7,3,tactile,success
5.146526099999846,2,6,3,tactile,success
3.847445500000049,2,8,3,tactile,success
4.0585631999999805,2,4,3,tactile,success
5.564180499999793,2,2,3,tactile,success
4.622719699999834,2,6,3,auditory,success
3.5172525000000405,2,8,3,auditory,success
4.973307500000146,3,7,3,auditory,success
6.258290799999941,3,3,3,auditory,success
3.833744399999887,2,4,3,auditory,success
4.260916899999984,2,2,3,auditory,success
5.558214800000087,3,9,3,auditory,success
7.573366699999951,4,1,3,auditory,success
