time,num_instructions,location,block,condition,success
7.255825100000038,2,8,1,auditory,success
6.03128659999993,2,4,1,auditory,success
7.056466499999942,3,9,1,auditory,success
8.918982200000073,3,3,1,auditory,success
5.923612100000128,2,2,1,auditory,success
6.543859599999905,3,7,1,auditory,success
5.000718600000027,2,6,1,auditory,success
6.877221500000132,3,1,1,auditory,success
5.742582900000116,3,7,1,tactile,success
6.183231500000147,3,1,1,tactile,success
7.086530900000071,3,3,1,tactile,success
4.943763100000069,2,4,1,tactile,success
5.220556400000078,2,2,1,tactile,success
3.9114904999999,2,8,1,tactile,success
4.595042100000001,2,6,1,tactile,success
5.737691300000051,3,9,1,tactile,success
6.319204200000058,3,3,2,auditory,success
4.204850699999952,2,2,2,auditory,success
3.326872799999819,2,8,2,auditory,success
3.7263812999999573,2,6,2,auditory,success
3.2224954999999227,2,4,2,auditory,success
5.543937099999994,3,1,2,auditory,success
4.963880300000028,3,9,2,auditory,success
5.1900454999999965,3,7,2,auditory,success
3.6672653999999056,2,8,2,tactile,success
5.175881100000197,3,7,2,tactile,success
6.519459799999822,3,1,2,tactile,success
3.679841099999976,2,4,2,tactile,success
6.375115399999913,3,3,2,tactile,success
5.092953800000032,3,9,2,tactile,success
7.9576867999999195,4,6,2,tactile,success
4.1318240000000515,2,2,2,tactile,success
4.05341519999979,2,2,3,auditory,success
2.7929426999999123,2,8,3,auditory,success
5.019549199999801,3,7,3,auditory,success
5.852433900000051,3,1,3,auditory,success
3.3850583000000825,2,6,3,auditory,success
4.017736499999955,2,4,3,auditory,success
4.818494999999984,3,9,3,auditory,success
5.198975100000098,3,3,3,auditory,success
4.688152299999956,3,9,3,tactile,success
3.626041399999849,2,4,3,tactile,success
3.3955570000000534,2,6,3,tactile,success
4.909059999999954,3,1,3,tactile,success
5.664228300000104,3,3,3,tactile,success
4.2281046999999035,3,7,3,tactile,success
3.7306714000001193,2,2,3,tactile,success
2.9250705000001744,2,8,3,tactile,success
