time,num_instructions,location,block,condition,success
11.394448900000043,3,7,1,tactile,success
5.6109731999999894,2,8,1,tactile,success
8.52853829999981,2,2,1,tactile,success
9.72734760000003,3,1,1,tactile,success
5.002536199999895,2,6,1,tactile,success
9.301370700000007,3,9,1,tactile,fail
4.512148100000104,2,4,1,tactile,success
8.688313899999912,4,3,1,tactile,success
6.954282700000022,3,3,1,auditory,success
4.794316600000002,2,4,1,auditory,success
3.6102779000000282,2,6,1,auditory,success
4.794932800000197,3,9,1,auditory,success
4.858437699999968,3,1,1,auditory,success
4.236128400000098,2,2,1,auditory,success
4.979448699999921,3,7,1,auditory,success
3.3297256000000743,2,8,1,auditory,success
3.7727102999999715,2,6,2,tactile,success
3.7037396000000626,2,8,2,tactile,success
3.3329444999999396,2,4,2,tactile,success
5.158720399999993,3,3,2,tactile,success
4.218803499999922,3,9,2,tactile,success
5.0890002000001004,3,1,2,tactile,success
5.626645800000006,2,2,2,tactile,success
4.653708099999903,3,7,2,tactile,success
5.737121800000068,3,9,2,auditory,success
4.494757899999968,2,2,2,auditory,success
3.8811869999999544,2,6,2,auditory,success
4.596661499999982,3,7,2,auditory,success
5.010223300000007,3,3,2,auditory,success
4.222477099999878,2,4,2,auditory,success
3.10177920000001,2,8,2,auditory,success
4.690753500000028,3,1,2,auditory,success
3.0168610999999146,2,8,3,tactile,success
6.712030599999935,3,1,3,tactile,success
4.365152300000091,2,2,3,tactile,success
4.542162199999893,3,7,3,tactile,success
4.7542197000000215,3,3,3,tactile,success
3.489023599999655,2,4,3,tactile,success
3.554773799999566,2,6,3,tactile,success
4.709921499999837,3,9,3,tactile,success
4.5001391000000694,3,3,3,auditory,success
3.486009400000057,2,6,3,auditory,success
2.8593237000000045,2,8,3,auditory,success
4.433734700000059,3,1,3,auditory,success
4.106966800000009,2,2,3,auditory,success
4.07181780000019,3,7,3,auditory,success
4.141223699999955,3,9,3,auditory,success
3.228631999999834,2,4,3,auditory,success
