time,num_instructions,location,block,condition,success
7.023216199999979,2,8,1,auditory,exFail
5.141763300000093,3,9,1,auditory,success
6.368612999999982,3,1,1,auditory,success
5.431352300000071,3,3,1,auditory,success
3.270692800000006,2,4,1,auditory,success
3.145179399999961,2,2,1,auditory,success
3.7532460999999557,3,7,1,auditory,success
3.2008316999999806,2,6,1,auditory,success
3.710734099999968,2,rep_8,1,auditory,success
3.8008471000000554,3,7,1,tactile,success
4.48427049999998,3,9,1,tactile,success
4.131856200000016,2,2,1,tactile,success
3.0127095999999938,2,4,1,tactile,success
7.875672399999985,4,6,1,tactile,success
2.971035499999971,2,8,1,tactile,success
5.8669702999999345,3,1,1,tactile,success
5.8406424999999444,3,3,1,tactile,success
4.1917157999998835,3,3,2,auditory,success
2.8489755000000514,2,2,2,auditory,success
3.4627909999999247,3,9,2,auditory,success
2.875714799999969,2,4,2,auditory,success
2.390686500000129,2,8,2,auditory,success
2.479913199999828,2,6,2,auditory,success
3.4563748999999007,3,7,2,auditory,success
3.4492568000000574,3,1,2,auditory,success
2.750030800000104,2,2,2,tactile,success
2.7513273000001846,2,6,2,tactile,success
4.275801499999943,3,9,2,tactile,success
2.9911102000000938,2,4,2,tactile,success
20,5,1,2,tactile,fail
4.2903041999998095,2,8,2,tactile,exFail
5.02081249999992,3,3,2,tactile,success
7.406418300000041,3,7,2,tactile,success
2.5713930999997956,2,rep_8,2,tactile,success
3.420041000000083,3,7,3,auditory,success
3.022843899999998,2,6,3,auditory,success
2.4049772000000758,2,2,3,auditory,success
2.4102837000000363,2,8,3,auditory,success
3.3479428999999072,3,9,3,auditory,success
2.8532581000001755,2,4,3,auditory,success
3.827619200000072,3,1,3,auditory,success
3.7203552999999374,3,3,3,auditory,success
3.970182799999975,3,9,3,tactile,success
2.8644111999999495,2,4,3,tactile,success
3.5115017999999054,2,2,3,tactile,success
4.468351400000074,3,3,3,tactile,success
2.724700900000016,2,8,3,tactile,success
2.9274129000000357,2,6,3,tactile,success
3.199037899999894,3,7,3,tactile,success
4.888711999999941,3,1,3,tactile,success
