time,num_instructions,location,block,condition,success
20,2,1,1,auditory,fail
19.146992199999886,1,4,1,auditory,exFail
9.0981890999999,2,2,1,auditory,fail
11.343204899999819,2,8,1,auditory,success
7.4713146999999935,2,6,1,auditory,fail
7.060329299999921,3,7,1,auditory,success
7.262884600000007,3,3,1,auditory,exFail
6.636971700000004,3,9,1,auditory,success
4.873965999999882,2,rep_4,1,auditory,success
6.157705000000078,3,rep_3,1,auditory,success
5.623350399999936,2,6,1,tactile,success
5.9725069999999505,3,1,1,tactile,success
5.5141157999998995,3,3,1,tactile,success
5.019508200000018,3,9,1,tactile,success
4.055032100000062,3,7,1,tactile,success
3.137626199999886,2,8,1,tactile,success
5.718853200000012,2,2,1,tactile,success
5.0706188999999995,3,4,1,tactile,exFail
3.478811700000051,2,rep_4,1,tactile,success
5.949513100000104,3,1,2,auditory,success
3.1444486999998844,2,8,2,auditory,success
3.064958400000023,2,4,2,auditory,success
4.308727999999974,4,7,2,auditory,success
4.497864799999888,3,3,2,auditory,success
3.420764699999836,2,2,2,auditory,success
3.056587099999888,2,6,2,auditory,success
3.9078183999999965,3,9,2,auditory,success
4.058545200000026,1,3,2,tactile,exFail
3.429809200000136,1,8,2,tactile,exFail
4.42473700000005,2,2,2,tactile,success
4.20780149999996,3,9,2,tactile,success
4.072075000000041,3,1,2,tactile,success
3.3995982000001277,2,6,2,tactile,success
2.883007399999997,2,4,2,tactile,success
3.462770399999954,3,7,2,tactile,success
4.10279700000001,3,rep_3,2,tactile,success
2.6551346000001104,2,rep_8,2,tactile,success
3.4954753999998047,2,6,3,auditory,success
3.7054557999999815,3,9,3,auditory,success
3.66282410000008,3,1,3,auditory,success
3.0035729999999603,2,4,3,auditory,success
3.3301931000000877,2,2,3,auditory,success
2.588631700000178,2,8,3,auditory,success
3.7544017999998687,3,7,3,auditory,success
3.884003200000052,3,3,3,auditory,success
2.693211799999972,2,4,3,tactile,success
2.9943041999999878,2,6,3,tactile,success
2.574428800000078,2,8,3,tactile,success
4.382589700000153,3,1,3,tactile,success
3.6205085999999937,3,9,3,tactile,success
3.557578899999953,2,2,3,tactile,success
4.2200809999999365,3,3,3,tactile,success
3.1196572999999717,3,7,3,tactile,success
