time,num_instructions,location,block,condition,success
14.693919100000016,3,7,1,tactile,success
12.753868699999998,4,1,1,tactile,success
17.413004099999966,4,6,1,tactile,success
20,5,3,1,tactile,fail
5.327730999999972,2,8,1,tactile,success
12.515678999999977,4,9,1,tactile,success
6.959049499999992,2,4,1,tactile,success
7.680429699999991,2,2,1,tactile,success
3.1287567999999055,2,8,1,auditory,success
5.738129699999945,3,7,1,auditory,success
4.710725000000139,2,2,1,auditory,success
6.966698400000041,3,1,1,auditory,success
6.879236600000013,3,3,1,auditory,success
5.155229199999894,2,6,1,auditory,success
4.605479299999843,2,4,1,auditory,success
8.992529699999977,3,9,1,auditory,exFail
7.532206100000167,3,rep_9,1,auditory,success
9.05831400000011,3,7,2,tactile,success
10.516855200000009,4,3,2,tactile,exFail
6.591458099999954,2,2,2,tactile,success
6.05277940000019,2,4,2,tactile,success
5.046834900000022,2,8,2,tactile,success
5.693550100000039,2,6,2,tactile,success
13.624116100000037,5,9,2,tactile,success
8.60520919999999,3,1,2,tactile,success
13.497491300000092,5,rep_3,2,tactile,success
7.736371100000042,3,3,2,auditory,success
4.755756000000019,2,4,2,auditory,success
6.510391799999979,3,7,2,auditory,success
5.338195199999973,2,2,2,auditory,success
4.387866600000052,2,8,2,auditory,success
8.249917600000117,3,9,2,auditory,success
6.408488000000034,3,1,2,auditory,success
5.126315100000056,2,6,2,auditory,success
5.926130000000057,2,4,3,tactile,success
9.45321580000018,4,6,3,tactile,success
8.854934200000116,4,9,3,tactile,success
6.37336160000018,3,7,3,tactile,success
6.188271500000155,2,2,3,tactile,success
12.548565900000085,4,3,3,tactile,success
7.021072499999946,3,1,3,tactile,success
4.869781099999955,2,8,3,tactile,success
4.8978239999999005,2,4,3,auditory,success
4.582289599999967,2,6,3,auditory,success
6.076900100000103,3,1,3,auditory,success
6.866780399999925,3,9,3,auditory,success
4.404820599999994,2,2,3,auditory,success
4.509555500000033,2,8,3,auditory,success
5.620766000000003,3,7,3,auditory,success
5.927066299999979,3,3,3,auditory,success
